case,citystate,state,date,summary,fatalities,injured,total_victims,location_type,age_of_shooter,prior_signs_mental_health_issues,mental_health_details,weapons_obtained_legally,where_obtained,weapon_type,weapon_details,race,gender,latitude,longitude,type,year
Rancho Tehama shooting spree,"Rancho Tehama, California",California,11/14/17,"Kevin Janson Neal, 44, went on an approximately 45-minute shooting spree in the rural community of Rancho Tehama Reserve in Northern California, including shooting up an elementary school, before being killed by law enforcement officers. Neal had also killed his wife at home.",5,10,15,Other,44,TBD,-,0,TBD,semiautomatic rifles,Two illegally modified rifles,White,M,40.018759,-122.393089,Spree,2017
Coffee shop police killings,"Parkland, Washington",Washington,11/29/09,"Maurice Clemmons, 37, a felon who was out on bail for child-rape charges, entered a coffee shop on a Sunday morning and shot four police officers who had gone there to use their laptops before their shifts. Clemmons, who was wounded fleeing the scene, was later shot dead by a police officer in Seattle after a two-day manhunt.",4,1,5,Other,37,Yes,"He had a history of erratic, bizarre behavior. He once asked his family to get naked for 5 minutes on Sunday; he said he thought the world would end and that he was Jesus.",0,Stolen from an individual in Seattle.,One semiautomatic handgun,9mm Glock 17 semiautomatic handgun; .38-caliber Smith & Wesson revolver,black,M,47.15277,-122.467308,Mass,2009
Kirkwood City Council shooting,"Kirkwood, Missouri",Missouri,2/7/08,"Charles ""Cookie"" Lee Thornton, 52, went on a rampage at the city hall before being shot and killed by police.",6,2,8,Other,52,No,He was known for histrionics and disruptions at city council meetings. His mounting debt was a stressor.,0,Taken in burglary and from fallen police officer,"One semiautomatic handgun, one revolver",.40-caliber Smith & Wesson semiautomatic handgun; .44 Magnum Smith & Wesson Model 29 revolver,black,M,38.580093,-90.40691,Mass,2008
Westroads Mall shooting,"Omaha, Nebraska",Nebraska,12/5/07,"Robert A. Hawkins, 19, opened fire inside Westroads Mall before committing suicide.",9,4,13,Other,19,Yes,He had been treated in the past for depression and ADHD. ,0,Stolen from grandfather,One rifle (assault),WASR-10 Century Arms semiautomatic rifle,white,M,41.265719,-96.067495,Spree,2007
San Bernardino mass shooting,"San Bernardino, California",California,12/2/15,"Syed Rizwan Farook left a Christmas party held at Inland Regional Center, later returning with Tashfeen Malik and the two opened fire, killing 14 and wounding 21, ten critically. The two were later killed by police as they fled in an SUV.",14,21,35,Other,28,Unclear,Unclear,1,The suspects purchased their handguns in the United States; the assault rifles were purchased by a third party.,"Two assault rifles and two semi-automatic pistols were used in the attack. Police found a remote controlled explosive device at the scene of the crime. At the home were 12 pipe bombs, 2,500 rounds for the AR-15 variants, 2,000 rounds for the pistols, and several hundred for a .22 calibre rifle. In the suspects' car were an additional 1,400 rounds for the rifles and 200 for the handguns.","Two semiautomatic AR-15-style rifles—one a DPMS A-15, the other a Smith & Wesson M&P15, both with .223 calibre ammunition. Two 9mm semiautomatic handguns. High capacity magazines.",Other,B,34.075961,-117.27789,Mass,2015
Fort Lauderdale airport shooting,"Fort Lauderdale, Florida",Florida,1/6/17,"Esteban Santiago, 26, flew from Alaska to Fort Lauderdale, where he opened fire in the baggage claim area of the airport, killing five and wounding six before police aprehended him. (Numerous other people were reportedly injured while fleeing during the panic.)",5,6,11,Airport,26,Yes,"Among other signs, Santiago had gone to a FBI office in Anchorage and complained that his mind was being controlled by the CIA.",1,-,"semiautomatic handgun
",Walther 9mm semi-automatic pistol[,Latino,M,26.072751,-80.143382,Mass,2017
Chattanooga military recruitment center,"Chattanooga, Tennessee",Tennessee,7/16/15,"Kuwaiti-born Mohammod Youssuf Abdulazeez, 24, a naturalized US citizen, opened fire at a Naval reserve center, and then drove to a military recruitment office where he shot and killed four Marines and a Navy service member, and wounded a police officer and another military service member. He was then fatally shot in an exchange of gunfire with law enforcement officers responding to the attack.",5,2,7,Military,24,Unclear,"Abdulazeez ""had suffered for years from depression and possibly from bipolar disorder,"" according to a representative of the family. (NYT, July 20 2015)",1,"On the internet, via Armslist.com","2 assault rifles; semiautomatic handgun
","AK-47, AR-15, and 30-round magazines; 9mm handgun",Other,M,35.047157,-85.311819,Mass,2015
Washington Navy Yard shooting,"Washington, D.C.",D.C.,9/16/13,"Aaron Alexis, 34, a military veteran and contractor from Texas, opened fire in the Navy installation, killing 12 people and wounding 8 before being shot dead by police.",12,8,20,Military,34,Yes,"Had told Rhode Island police the prior month that he'd ""heard voices""; had been undergoing mental health treatment with Veterans Affairs since August 2013.",1,Sharpshooters Small Arms Range,"Sawed-off shotgun, 2 boxes of shells; also a .45-caliber handgun taken from a security guard he shot at the scene.",Remington 870 Express 12-gauge shotgun; Beretta handgun,Black,M,38.874981,-76.99453,Mass,2013
Fort Hood massacre,"Fort Hood, Texas",Texas,11/5/09,"Army psychiatrist Nidal Malik Hasan, 39, opened fire on an Army base in an attack linked to Islamist extremism. Hasan was injured during the attack and later arrested.",13,31,44,Military,39,Unclear,Medical officials at Walter Reed Army Medical Center and the Uniformed Services University of the Health Sciences raised concerns prior to the shooting regarding Hasan's aloof and erratic behavior and extremist Islamic views.,1,"Guns Galore in Kileen, Texas",One semiautomatic handgun,FN Five-seven semiautomatic handgun,Other,M,31.135557,-97.783664,Mass,2009
Air Force base shooting,"Fairchild Air Force Base, Washington",Washington,6/20/94,"Former airman Dean Allen Mellberg, 20, opened fire inside a hospital at the Fairchild Air Force Base before he was shot dead by a military police officer outside.",5,23,28,Military,20,Yes,He was repeatedly diagnosed with emotional problems during his two years of service.,1,"Gun dealer in Spokane, Wash.",One rifle (assault),MAK-90 semiautomatic rifle,white,M,47.61864486,-117.6483587,Mass,1994
Dayton entertainment district shooting,"Dayton, Ohio",Ohio,8/4/19,"Connor Betts, 24, died during the attack, following a swift police response. He wore tactical gear including body armor and hearing protection, and had an ammunition device capable of holding 100 rounds. Betts had a history of threatening behavior dating back to high school, including reportedly having hit lists targeting classmates for rape and murder.",9,27,36,Other,24,-,-,1,-,semiautomatic rifle,"AR-15-style rifle, with a 100-round capacity ammunition drum",White,M,39.757312,-84.184947,Mass,2019
Gilroy garlic festival shooting,"Gilroy, California",California,7/28/19,"Santino William LeGan, 19, fired indiscriminately into the crowd near a concert stage at the festival. He used an AK-47-style rifle, purchased legally in Nevada three weeks earlier. After apparently pausing to reload, he fired additional multiple rounds before police shot him and then he killed himself. A witness described overhearing someone shout at LeGan, ""Why are you doing this?"" LeGan, who wore camouflage and tactical gear, replied: “Because I'm really angry."" The murdered victims included a 13-year-old girl, a man in his 20s, and six-year-old Stephen Romero.",3,12,15,Other,19,TBD,-,1,"Nevada, on July 9",semiautomatic rifle,"AK-47-style rifle, per authorities",-,M,36.997191,-121.584819,Mass,2019
Pennsylvania hotel bar shooting,"State College, Pennsylvania",Pennsylvania,1/24/19,"Jordan Witmer, 21, shot three people at a Ramada Hotel bar near Penn State University, including a former girlfriend he was there with. He then fled the bar, crashed his car about a mile away, and stormed into a random house, fatally shooting an elderly resident and then himself. Witmer, who had a legal carry permit for his handgun, had just finished a three-year stint in the US Army; ten days prior to the attack he had been convicted on drunk driving-related charges in Kentucky, where he'd been stationed. ",3,1,4,Other,21,-,-,1,-,handgun,-,White,M,40.785142,-77.839411,Spree,2019
Thousand Oaks nightclub shooting,"Thousand Oaks, California",California,11/7/18,"Ian David Long, 28, dressed in black and armed with a handgun and a “smoke device,” approached the Borderline Bar & Grill — a country music venue popular with college students — close to midnight and opened fire, killing a security guard and then others in the club, including a sheriff’s deputy responding to the attack. Long was found dead at the scene from apparent suicide. He was a former Marine and had a history of interactions with local law enforcement, including a mental health evaluation in which he’d been cleared.",12,22,34,Other,28,Yes,"Per the LATimes: ""Sheriff Geoff Dean said his department had had several interactions with Long, including a call to his home in April for a complaint of disturbing the peace. Deputies at the time said Long was irate and acting irrationally, Dean said. They called in mental health professionals to evaluate him, and they concluded he did not need to be taken into custody.""",1,A gun store in Simi Valley,semiautomatic handgun,"Glock 21, .45 caliber; high-capacity magazine",-,M,34.176946,-118.874793,Mass,2018
Waffle House shooting,"Nashville, Tennessee",Tennessee,4/22/18,"Travis Reinking, 29, opened fire around 3:30 a.m. in the parking lot of a Waffle House in Antioch, and continued shooting as he entered the restaurant. As he attempted to reload his AR-15, a bystander heroically wrestled the rifle away from Reinking, who then fled; he was captured by authorities the following day. Reinking had a history of erratic behavior and run-ins with law enforcement in his home state of Illinois, including claims that he was being stalked and harassed by pop star Taylor Swift. In July 2017, he was arrested at the White House after breaching security in an effort to speak with President Trump, reportedly claiming his right to do so as “a sovereign citizen.” ",4,4,8,Other,29,Yes,"Reinking had a history of erratic behavior and run-ins with law enforcement in his home state of Illinois, including claims that he was being stalked and harassed by pop star Taylor Swift. In July 2017, he was arrested at the White House after breaching security in an effort to speak with President Trump, reportedly claiming his right to do so as “a sovereign citizen.”",1,Family member,semiautomatic rifle,AR-15,White,M,36.052521,-86.616944,Mass,2018
Las Vegas Strip massacre,"Las Vegas, Nevada",Nevada,10/1/17,"Stephen Craig Paddock, 64, fired a barrage of rapid gunfire—using semiautomatic rifles modified with ""bump stocks""—at thousands of concertgoers on the Las Vegas Strip late on a Sunday night; Paddock had positioned himself in a corner suite on the 32nd floor of the Mandalay Bay Resort and Casino, where he took aim from windows he'd smashed open. Police responding to the attack found Paddock inside the hotel suite, deceased from a self-inflicted gunshot.",58,546,604,Other,64,TBD,Perpetrator's history unclear. In 1969 Paddock's father was classified by the FBI as a dangerous psychopath with suicidal tendencies; psychopathy can be heritable (see Mother Jones sourcing). ,1,Two gun shops in Nevada,"23 firearms, mostly rifles; including scopes, and two modified for ""fully automatic"" firing; two were mounted on tripods","AR-15-style and AK-47-style rifles and ""a large cache of ammunition""; four Daniel Defense DDM4 rifles, three FN-15s and other rifles made by Sig Sauer.",White,M,36.095739,-115.171544,Mass,2017
Dallas police shooting,"Dallas, Texas",Texas,7/7/16,"Micah Xavier Johnson, a 25-year-old Army veteran, targeted police at a peaceful Black Lives Matter protest, killing five officers and injuring nine others as well as two civilians. After a prolonged standoff in a downtown building, law enforcement killed Johnson using a robot-delivered bomb.",5,11,16,Other,25,Unclear,Unclear,1,online and or gun show,"Semiautomatic rifle, semiautomatic handguns","Izhmash-Saiga 5.45mm (AK-style) semiautomatic rifle with large capacity magazines; Glock 9mm handgun, .25-caliber semiautomatic handgun",Black,M,32.7801052,-96.8000082,Mass,2016
Orlando nightclub massacre,"Orlando, Florida",Florida,6/12/16,"Omar Mateen, 29, attacked the Pulse nighclub in Orlando in the early morning hours of June 12. He was killed by law enforcement who raided the club after a prolonged standoff.",49,53,102,Other,29,Unclear,Unclear,1,"Shooting center in Port St. Lucie, Florida","Semiautomatic rifle, semiautomatic handgun","Sig Sauer MCX rifle, Glock 17 9mm; high-capacity magazines (30 rounds)",Other,M,28.519718,-81.376777,Mass,2016
Kalamazoo shooting spree,"Kalamazoo County, Michigan",Michigan,2/20/16,"Jason B. Dalton, a driver for Uber, apparently selected his victims randomly as he went on a rampage over several hours in three different locations, including five people he shot in the parking lot of a Cracker Barrel restaurant. He was ""arrested without incident"" at a downtown Kalamazoo bar about six hours after the rampage began.",6,2,8,Other,45,Unclear,Unclear,1,-,Semiautomatic handgun,9 mm handgun (ammo used unclear),White,M,42.236689,-85.674795,Mass,2016
Colorado Springs shooting rampage,"Colorado Springs, Colorado",Colorado,10/31/15,"Noah Harpham, 33, shot three people before dead in Colorado Springs before police killed him in a shootout.",3,0,3,Other,33,Unclear,"Prior to the rampage, Harpham wrote an ""incoherent"" blog and rambled ""nonsensically"" in a YouTube video about mind control techniques and God, according to the Denver Post. He had a history of drug and alcohol abuse. ",1,Unclear,Two handguns and a rifle,"AR-15 rifle, a 9 mm pistol, and a .357 revolver ",White ,M,38.83755,-104.814251,Mass,2015
Trestle Trail bridge shooting,"Menasha, Wisconsin",Wisconsin,6/11/15,"Sergio Valencia del Toro, 27, in what officials say was a random act, shot and killed three people including an 11-year-old girl before turning the gun on himself.",3,1,4,Other,27,Yes,"While serving in the Air Force, he went to an emergency walk-in clinic because of concerns over his mood swings, and had either sought or been ordered to behavioral health interventions, according to Fox 6 Now. In a 2014 risk assessment with a psychologist at an outpatient clinic in Appleton, Valencia del Toro recalled thinking previously: ""If I'm gonna take myself out, I might as well take other people with me."" The police report obtained by Fox 6 says that Valencia del Toro had a history of depression, suicidal and occassionally homicidal thoughts, and alcoholism. He was intoxicated on the day of the shooting.",1,Unclear,Two handguns,"Details unclear, but after the shooting, police found eight guns in total in Valencia del Toro's home, including handguns, shotguns, and rifles, plus and more than 1,000 rounds of ammunition. He took two weapons and ammunition to the bridge.",Latino,M,44.204124,-88.467541,Mass,2015
Mohawk Valley shootings,"Herkimer County, New York",New York,3/13/13,"Kurt Myers, 64, shot six people in neighboring towns, killing two in a barbershop and two at a car care business, before being killed by officers in a shootout after a nearly 19-hour standoff.",5,2,7,Other,64,No,-,1,"Frank's Guns in Marcy, NY",Shotgun,Unknown,White,M,43.045601,-74.984891,Mass,2013
Aurora theater shooting,"Aurora, Colorado",Colorado,7/20/12,"James Holmes, 24, opened fire in a movie theater during the opening night of ""The Dark Night Rises"" and was later arrested outside.",12,70,82,Other,24,Yes,He saw at least three mental health professionals before dropping out of his university.,1,"Gander Mountain stores in Thornton and Aurora, Colo.; Bass Pro Shop in Denver, Colo.; BulkAmmo.com","Two semiautomatic handguns, one rifle (assault), one shotgun",Two .40-caliber Glock semiautomatic handguns; .223-caliber Smith & Wesson M&P15 semiautomatic rifle; 12-gauge Remington 870 pump-action shotgun,white,M,39.706038,-104.820594,Spree,2012
Seattle cafe shooting,"Seattle, Washington",Washington,5/20/12,"Ian Stawicki, 40, gunned down four patrons at a cafe, and another person during a carjacking nearby, then shot himself as police closed in. (He died later that day in a Seattle hospital.)",6,1,7,Other,40,Yes,His family said he was mentally ill,1,"Bull's Eye Shooter Supply in Tacoma, Wash.",Two semiautomatic handguns,Two .45-caliber semiautomatic handguns,white,M,47.6038321,-122.3300624,Mass,2012
Su Jung Health Sauna shooting,"Norcross, Georgia",Georgia,2/21/12,"Jeong Soo Paek, 59, returned to a Korean spa from which he'd been kicked out after an altercation. He gunned down two of his sisters and their husbands before committing suicide.",5,0,5,Other,59,Yes,His sister worried about his homicidal tendencies; she said his mental health had been deteriorating and that he had threatened to commit suicide with his gun.,1,Unknown,One semiautomatic handgun,.45-caliber semiautomatic handgun,Asian,M,33.9412127,-84.2135309,Mass,2012
Seal Beach shooting,"Seal Beach, California",California,10/12/11,"Scott Evans Dekraai, 42, opened fire inside a hair salon and was later arrested. Victims killed in the attack included his ex-wife, who Dekraai had a history of violently abusing, according to court records. The two had also been involved in a bitter custody battle.",8,1,9,Other,42,Yes,"He suffered from bipolar disorder, mood swings, and PTSD. After an assault on his elderly stepfather, he was sentenced in 2008 to a year of anger management therapy.",1,Unknown,"Two semiautomatic handguns, one revolver",".45-caliber Heckler & Koch, 9mm Springfield semiautomatic handguns; .44 Magnum Smith & Wesson revolver",white,M,33.741176,-118.1046356,Mass,2011
IHOP shooting,"Carson City, Nevada",Nevada,9/6/11,"Eduardo Sencion, 32, opened fire at an International House of Pancakes restaurant and later died from a self-inflicted gunshot wound.",5,7,12,Other,32,Yes,He was diagnosed with paranoid schizophrenia as a teenager and feared demons were out to get him.,1,Purchased from an individual,"Two rifles (both assault), one revolver","AK-47 Norinco Arms variant, AK-47 Romarm Cugir variant rifles; .38-caliber Colt revolver",Latino,M,39.1637984,-119.7674034,Mass,2011
Tucson shooting,"Tucson, Arizona",Arizona,1/8/11,"Jared Loughner, 22, opened fire outside a Safeway during a constituent meeting with Congresswoman Gabrielle Giffords (D-Ariz.) before he was subdued by bystanders and arrested.",6,13,19,Other,22,Yes,"His symptoms pointed to various possible mental illness diagnoses, such as schizophrenia and delusional disorder. He also experimented with pot and hallucinogens.",1,"Sportsmen's Warehouse in Tucson, Ariz.",One semiautomatic handgun,9mm Glock 19 semiautomatic handgun,white,M,32.335941,-110.975132,Mass,2011
Binghamton shootings,"Binghamton, New York",New York,4/3/09,"Jiverly Wong, 41, opened fire at an American Civic Association center for immigrants before committing suicide.",14,4,18,Other,41,Yes,He apparently harbored growing paranoia toward cops. He also sent a delusional letter to a local TV station right before the shooting.,1,"Gander Mountain in Johnson City, N.Y.",Two semiautomatic handguns,"9mm Beretta, .45-caliber Springfield semiautomatic handguns",Asian,M,42.099802,-75.917723,Mass,2009
Carthage nursing home shooting,"Carthage, North Carolina",North Carolina,3/29/09,"Robert Stewart, 45, opened fire at a nursing home where his estranged wife worked before he was shot and arrested by a police officer.",8,3,11,Other,45,Yes,"His estranged wife told her workplace that her husband had an ""unstable mental state or (was) mentally ill.""",1,Local sporting goods stores and individuals,"One revolver, one shotgun",Winchester 1300 pump-action shotgun; .357 Magnum revolver,white,M,35.333434,-79.414592,Mass,2009
Crandon shooting,"Crandon, Wisconsin",Wisconsin,10/7/07,"Off-duty sheriff's deputy Tyler Peterson, 20, opened fire inside an apartment after an argument at a homecoming party. He fled the scene and later committed suicide.",6,1,7,Other,20,Unclear,The families of victims filed a wrongful death lawsuit against the county arguing that the police department should have evaluated the gunman's mental health before hiring him.,1,Issued by Forest County Sheriff's Department,One rifle (assault),AR-15 SWAT semiautomatic rifle,white,M,45.5719072,-88.9028922,Mass,2007
Capitol Hill massacre,"Seattle, Washington",Washington,3/25/06,"Kyle Aaron Huff, 28, opened fire at a rave afterparty in the Capitol Hill neighborhood of Seattle before committing suicide.",7,2,9,Other,28,No,Police were unable to find any record that he had been treated for mental illness or was on psychiatric medication.,1,"Various sporting goods stores in Kalispell, Mont.","Two semiautomatic handguns, one rifle (assault), one shotgun",".40-caliber Ruger, one other semiautomatic handgun; Bushmaster XM15 E2S semiautomatic rifle; 12-gauge Winchester Defender pump-action shotgun with extended tube and pistol grip",white,M,47.6229,-122.3165,Mass,2006
Damageplan show shooting,"Columbus, Ohio",Ohio,12/8/04,"Nathan Gale, 25, possibly upset about the breakup of Pantera, gunned down former Pantera guitarist Dimebag Darrell and three others at a Damageplan show before a police officer fatally shot Gale.",5,7,12,Other,25,Yes,He was discharged from the military because he was a paranoid schizophrenic.,1,Received as a gift from mother,One semiautomatic handgun,9mm Beretta 92FS semiautomatic handgun,white,M,39.9622601,-83.0007065,Mass,2004
Long Island Rail Road massacre,"Garden City, New York",New York,12/7/93,"Colin Ferguson, 35, opened fire on an eastbound Long Island Rail Road train as it approached a Garden City station. He was later arrested.",6,19,25,Other,35,Yes,"Psychiatrists and others said he suffered from racial paranoia and was obsessed with nonexistent conspiracies. His landlord said he had ""delusions of grandeur.""",1,"Turner's Outdoorsman in Signal Hill, Calif. ",One semiautomatic handgun,9mm Ruger P89 semiautomatic handgun,black,M,40.7267682,-73.6342955,Spree,1993
Luigi's shooting,"Fayetteville, North Carolina",North Carolina,8/6/93,"Army Sgt. Kenneth Junior French, 22, opened fire inside Luigi's Italian restaurant while ranting about gays in the military before he was shot and arrested by police.",4,8,12,Other,22,No,"He had an abusive father, who committed suicide.",1,Unknown,"One rifle, two shotguns",.22-caliber rifle; two 12-gauge shotguns,white,M,35.0529931,-78.8787058,Mass,1993
Oxford High School shooting,"Oxford, Michigan",Michigan,11/30/21,"Ethan Crumbley, a 15-year-old student at Oxford High School, opened fire with a Sig Sauer 9mm pistol purchased four days earlier by his father, and was apprehended by police shortly thereafter. Prosecutors filed charges against Crumbley for terrorism and first-degree murder.",4,7,11,School,15,-,-,NA,-,semiautomatic handgun,Sig Sauer 9mm pistol,-,M,42.84410784,-83.25992831,Mass,2021
San Jose VTA shooting,"San Jose, California",California,5/26/21,"Samuel Cassidy, 57, a Valley Transportation Authorty employee, opened fire at a union meeting at the light rail facility, soon also fatally shooting himself at the scene. Before the attack, Cassidy had set fire to his own house, where he also had firearms and a stockpile of ammunition. His legal history included his ex-wife filing a restraining order against him in 2009.",9,0,9,Workplace,57,yes,"Perpetrator had a history of depression, angry behavior and making people around him fearful; former intimate partners decribed him as being mentally unstable",NA,-,semiautomatic handguns,-,-,M,37.316097,-121.888533,Mass,2021
Orange office complex shooting,"Orange, California",California,3/31/21,"Aminadab Gaxiola Gonzalez, 44, allegedly opened fire inside a small business at an office complex, killing at least four victims, including a nine-year-old boy, before being wounded in a confrontation with police and taken into custody. According to law enforcement officials, Gonzalez had chained the front and rear gates to the complex with bicycle cable locks to hinder police response.",4,1,5,Workplace,-,-,-,NA,-,semiautomatic handgun,-,-,M,33.83542,-117.85379,Mass,2021
Atlanta massage parlor shootings,"Atlanta, Georgia",Georgia,3/16/21,"Robert Aaron Long, 21, killed eight people at three massage parlors. An additional victim was injured. Six of the deceased victims were women of Asian descent. According to law enforcement officials, Long, who is white, made claims in custody about having sexual addiction issues, and had frequented the massage parlors. He also spoke of intent to attack additional locations in Florida.",8,1,9,Workplace,21,-,-,NA,-,-,-,White,M,34.111653,-84.580376,Spree,2021
Springfield convenience store shooting,"Springfield, Missouri",Missouri,3/16/20,"Joaquin S. Roman, 31, went on a rampage culminating at a Kum & Go, killing four people, including a police officer, before fatally shooting himself on the scene.",4,0,4,Workplace,31,-,-,NA,-,-,-,-,M,37.210432,-93.23686,Mass,2020
