case,citystate,state,date,summary,fatalities,injured,total_victims,location_type,age_of_shooter,prior_signs_mental_health_issues,mental_health_details,weapons_obtained_legally,where_obtained,weapon_type,weapon_details,race,gender,latitude,longitude,type,year
Charleston Church Shooting,"Charleston, South Carolina",South Carolina,6/17/15,"Dylann Storm Roof, 21, shot and killed 9 people after opening fire at the Emanuel AME Church in Charleston, South Carolina. According to a roommate, he had allegedly been “planning something like that for six months.""",9,1,10,Religious,21,Unclear,-,1,"Shooter's Choice gun store in West Columbia, South Carolina",Handgun,".45-caliber Glock (model 41, with 13-round capacity magazine)",White,M,32.788387,-79.933143,Mass,2015
Sikh temple shooting,"Oak Creek, Wisconsin",Wisconsin,8/5/12,"U.S. Army veteran Wade Michael Page, 40, opened fire in a Sikh gurdwara before he died from a self-inflicted gunshot would during a shootout with police.",7,3,10,Religious,40,Yes,"His Army friends once broke into his apartment, fearing he'd commit suicide in the '90s. A psychiatric nurse who lived downstairs from Page said it was ""obvious"" he had a mental illness.",1,Unknown,One semiautomatic handgun,9mm Springfield Armory XDM semiautomatic handgun,white,M,42.8858503,-87.8631362,Mass,2012
Living Church of God shooting,"Brookfield, Wisconsin",Wisconsin,3/12/05,"Living Church of God member Terry Michael Ratzmann, 44, opened fire at a church meeting at a Sheraton hotel before committing suicide.",7,4,11,Religious,44,Yes,Neighbors said he suffered from depression and had a drinking problem.,1,"Gun dealer in Waukesha, Wis.",One semiautomatic handgun,9mm Beretta semiautomatic handgun,white,M,43.0605671,-88.1064787,Spree,2005
Wedgwood Baptist Church shooting,"Fort Worth, Texas",Texas,9/15/99,"Larry Gene Ashbrook, 47, opened fire inside the Wedgwood Baptist Church during a prayer rally before committing suicide.",8,7,15,Religious,47,Yes,His siblings decribed him as a paranoid schizophrenic. ,1,"Trader's Village flea market in Grand Prairie, Texas",Two semiautomatic handguns,".380-caliber, 9mm Ruger P85 semiautomatic handguns",white,M,32.664511,-97.384246,Mass,1999
Marjory Stoneman Douglas High School shooting,"Parkland, Florida",Florida,2/14/18,"Nikolas J. Cruz, 19, heavily armed with an AR-15, tactical gear, and “countless magazines” of ammo, according to the Broward County Sheriff, attacked the high school as classes were ending for the day, killing at least 17 people and injuring many others. He was apprehended by authorities shortly after fleeing the campus.",17,17,34,School,19,Yes,Cruz had a long history of behavioral problems and had spent time in mental health clinics.,1,A Florida pawn shop,semiautomatic rifle,AR-15,White,M,26.30483,-80.269511,Mass,2018
Umpqua Community College shooting,"Roseburg, Oregon",Oregon,10/1/15,26-year-old Chris Harper Mercer opened fire at Umpqua Community College in southwest Oregon. The gunman shot himself to death after being wounded in a shootout with police.,9,9,18,School,26,Unclear,"Harper-Mercer's mother said in multiple online postings that he had Asperger's syndrome. Harper-Mercer graduated from the Switzer Learning Center, a school for students with special needs, emotional difficulties, autism and Asperger's syndrome.",1,From the home he shared with his mother. All were legally obtained by either Harper/Mercer or family members.,"Five pistols, one rifle, five magazines of ammunition","9 mm Glock pistol, .40 caliber Smith & Wesson, .40 caliber Taurus pistol, .556 caliber Del-Ton; (ammo details unclear)",Other,M,43.289538,-123.333193,Mass,2015
Isla Vista mass murder,"Santa Barbara, California",California,5/23/14,"Elliot Rodger, 22, shot three people to death in the college town of Isla Vista near the University of California, Santa Barbara. He also shot others as he drove around town, and injured others by striking them with is vehicle. He committed suicide by shooting himself in his car as police closed in. Prior to the rampage, Rodger stabbed three people to death at his apartment.",6,13,19,School,22,Yes,"Rodger was never hospitalized due to mental illness, but had a long history of mental health issues dating back to his childhood, and received treatment from multiple counselors leading up to his rampage. According to The Independent, Rodger had considered suicide but had no history of violence. Just before his rampage, he sent a 137-page manifesto to multiple people.",1,-,Three semi-automatic handguns and two hunting knives,"Two Sig Sauer P226 semiautomatic pistols and Glock 34 pistol, and hundreds of rounds of ammo. A 6- inchand 8-inch “SRK” and “Boar Hunter” hunting knives. ",White,M,34.436283,-119.8714406,Mass,2014
Oikos University killings,"Oakland, California",California,4/2/12,"One L. Goh, 43, a former student, opened fire in a nursing classroom. He fled the scene by car and was arrested nearby a few hours later.",7,3,10,School,43,Yes,"A former instructor at Oikos described him as ""mentally unstable"" and ""paranoid.""",1,"Bullseye in Castro Valley, Calif.",One semiautomatic handgun,.45-caliber semiautomatic handgun,Asian,M,37.8043808,-122.2708166,Mass,2012
Northern Illinois University shooting,"DeKalb, Illinois",Illinois,2/14/08,"Steven Kazmierczak, 27, opened fire in a lecture hall, then shot and killed himself before police arrived.",5,21,26,School,27,Yes,"He had a long history of mental health struggles; after high school, his parents placed him at a psychiatric treatment center. He told friends he left the Army after six months due to a psychological discharge. ",1,"Online and gun retailers in Champaign, Ill. ","Three semiautomatic handguns, one shotgun","9mm Glock 19, Hi-Point CF380, 9mm Kurz SIG Sauer P232 semiautomatic handguns; 12-gauge Remington Sportsman 48 sawed-off shotgun",white,M,41.9294736,-88.7503647,Mass,2008
Virginia Tech massacre,"Blacksburg, Virginia",Virginia,4/16/07,"Virginia Tech student Seung-Hui Cho, 23, opened fire on his school's campus before committing suicide.",32,23,55,School,23,Yes,"A district court ruled Cho was ""an imminent danger"" to himself and others as a result of mental illness two years earlier, and directed Cho to seek treatment. ",1,"Purchased variously online and from Roanoke Firearms in Roanoke, Va.",Two semiautomatic handguns,"9mm Glock 19, .22-caliber Walther P22 semiautomatic handguns",Asian,M,37.2295733,-80.4139393,Mass,2007
Amish school shooting,"Lancaster County, Pennsylvania",Pennsylvania,10/2/06,"Charles Carl Roberts, 32, shot 10 young girls in a one-room schoolhouse in Bart Township, killing 5, before taking his own life.",6,5,11,School,32,No,He told his wife that he'd molested two young relatives 20 years ago. ,1,"Local stores in Nickel Mines, Penn. ","One semiautomatic handgun, one rifle, one shotgun",Springfield semiautomatic handgun; .30-06 Ruger bolt-action rifle; 12-gauge Browning pump-action shotgun,white,M,39.9589,-76.0806,Mass,2006
Lindhurst High School shooting,"Olivehurst, California",California,5/1/92,"Former Lindhurst High School student Eric Houston, 20, angry about various personal failings, killed three students and a teacher at the school before surrendering to police after an eight-hour standoff. He was later sentenced to death.",4,10,14,School,20,No,"He suffered violent physical abuse as a child. He claimed a teacher had sexually abused him, but the truth of that allegation was contested. ",1,Local gun retailer,"One rifle, one shotgun",.22-caliber sawed-off rifle; 12-gauge pump-action shotgun,white,M,39.07868761,-121.5475762,Mass,1992
University of Iowa shooting,"Iowa City, Iowa",Iowa,11/1/91,"Former graduate student Gang Lu, 28, went on a rampage on campus and then committed suicide at the scene.",6,1,7,School,28,Unclear,He was described as darkly disturbed and isolated.,1,"Fin & Feather in Iowa City, Iowa",One revolver,.38-caliber Taurus revolver,Asian,M,41.6606893,-91.5302214,Spree,1991
Stockton schoolyard shooting,"Stockton, California",California,1/17/89,"Patrick Purdy, 26, an alcoholic with a police record, launched an assault at Cleveland Elementary School, where many young Southeast Asian immigrants were enrolled. Purdy killed himself with a shot to the head.",6,29,35,School,26,Yes,"He told a mental health professional he was ""struggling to resist actions on thoughts which are destructive in nature."" He also suffered from alcoholism. ",1,"Sandy Trading Post in Sandy, Ore.; Hunter Loan and Jewelry Co. in Stockton, Calif.","One semiautomatic handgun, one rifle (assault)",9mm Taurus semiautomatic handgun; AK-47 Chinese variant semiautomatic rifle,white,M,37.9577016,-121.2907796,Mass,1989
FedEx warehouse shooting,"Indianapolis, Indiana",Indiana,4/15/21,"Brandon Scott Hole, 19, opened fire around 11 p.m. in the parking lot and inside the warehouse, and then shot himself fatally as police responded to the scene.",8,7,15,Workplace,19,yes,Perpetrator had been reported to police in 2020 by his mother as potentially suicidal; he was detained by authorities on a temporary mental health hold,1,-,semiautomatic rifle,-,White,M,39.68663,-86.32313,Mass,2021
Boulder supermarket shooting,"Boulder, Colorado",Colorado,3/22/21,"Ahmad Al Aliwi Alissa, 21, carried out a mass shooting at a King Soopers that left 10 victims dead, including veteran police officer Eric Talley, who was the first officer to respond on the scene. Alissa was wounded by police and taken into custody.",10,0,10,Workplace,21,yes,Brother described him as paranoid; multiple accounts of anger issues from others who knew him. Misdemeanor criminal record for a violent assault during his senior year in high school.,1,-,"semiautomatic rifle, semiautomatic handgun; tactical vest",Ruger AR-556; weapon was purchased six days before the attack,-,M,39.986961,-105.251168,Mass,2021
El Paso Walmart mass shooting,"El Paso, Texas",Texas,8/3/19,"Patrick Crusius, 21, who was apprehended by police, posted a so-called manifesto online shortly before the attack espousing ideas of violent white nationalism and hatred of immigrants. ""This attack is a response to the Hispanic invasion of Texas,"" he allegedly wrote in the document.",22,26,48,Workplace,21,-,-,1,-,semiautomatic rifle,"AK-47-style rifle, per authorities",White,M,31.771068,-106.375655,Mass,2019
Virginia Beach municipal building shooting,"Virginia Beach, Virginia",Virginia,5/31/19,"DeWayne Craddock, 40, a municipal city worker wielding handguns, a suppressor and high-capacity magazines, killed en masse inside a Virginia Beach muncipal building late in the day on a Friday, before dying in a prolonged gun battle with police. Craddock reportedly had submitted his resignation from his job that morning. He was a veteran of the Virginia Army National Guard, and ""had a shaved head, bodybuilder’s physique and cameras in the windows of his house on a peaceful cul-de-sac,"" according to the Washington Post.",12,4,16,Workplace,40,TBD,-,1,-,2 handguns,.45-caliber handguns; noise suppressor (silencer); several high-capacity magazines,Black,M,36.75442,-76.060378,Mass,2019
SunTrust bank shooting,"Sebring, Florida",Florida,1/23/19,"Zephen A. Xaver, 21, fatally shot five women inside a bank and then called the police to confess. He was armed with a handgun and wore a bulletproof vest. He reportedly ordered the women to lie down on the floor and shot them execution-style. After a standoff with police, he surrendered and was taken into custody. A week prior, Xaver had quit a job as a prison guard trainee, and authorities said they believed the shooting was ""a random act"" and that roberry did not appear to be a motive. An ex-girlfriend in Indiana told local media she'd been “scared for years” by Xaver’s talk of violence and death, but that her warnings to others (who she did not identify) were not taken seriously. She said she’d first met Xaver in a psychiatric hospital in 2013. In March 2017, Michigan State Police documented an incident in which Xaver indicated he was “possibly thinking of suicide by cop and taking hostages.""",5,0,5,Workplace,21,Yes,Xaver was reported to have a lenghty history of expressing violent desires; an ex-girlfriend said she first met him at a psychiatric hospital in 2013.,1,-,handgun,9 mm handgun,White,M,27.471043,-81.45847,Mass,2019
Rite Aid warehouse shooting,"Perryman, Maryland",Maryland,9/20/18,"Snochia Moseley, 26, reportedly a disgruntled employee, shot her victims outside the building and on the warehouse floor; she later died from a self-inflicted gunshot at a nearby hospital. (No law enforcement officers responding to her attack fired shots.)",3,3,6,Workplace,26,-,-,1,-,semiautomatic handgun,Glock 9 mm,Black,F,39.455658,-76.208485,Mass,2018
T&T Trucking shooting,"Bakersfield, California",California,9/12/18,"Javier Casarez, 54, who was going through a bitter divorce, went on a shooting spree targeting his ex-wife and former coworkers at the trucking company. His attack included fatally shooting one victim who he pursued to a nearby sporting goods retailer, and two others at a private residence. After then carjacking a woman who was driving with a child (and letting the two go), Casarez fatally shot himself as law enforcement officials closed in on him.",5,0,5,Workplace,54,-,-,1,-,handgun,Smith & Wesson Model 500 (.50-caliber revolver),Latino,M,35.349388,-118.916335,Spree,2018
Fifth Third Center shooting,"Cincinnati, Ohio",Ohio,9/6/18,"Omar Enrique Santa Perez, 29, walked into the ground-floor lobby of a building in downtown Cincinnati shortly after 9 a.m. and opened fire. Within minutes, Perez was fatally wounded in a shootout with law enforcement officers responding to the scene.",3,2,5,Workplace,29,Yes,"Perez filed a ""delusional"" lawsuit in 2017 against CNBC and TD Ameritrade; the federal judge who threw out the case said Perez's allegations were ""rambling, difficult to decpipher and borders on delusional.""",1,A local gun store,semiautomatic handgun,9mm handgun,Latino,M,39.101981,-84.511782,Mass,2018
Capital Gazette shooting,"Annapolis, Maryland",Maryland,6/28/18,"Jarrod W. Ramos, 38, shot through the glass doors of the paper’s newsroom around 3pm to carry out his attack; police quickly responding to the scene found him hiding under a desk and apprehended him. Ramos had harbored a longstanding grudge against the paper over a 2011 column that had detailed his guilty plea for the harassment of a former female classmate. Ramos had sued the paper for defamation and lost.",5,2,7,Workplace,38,-,-,1,-,shotgun,12-gauge pump-action shotgun,White,M,38.994548,-76.543657,Mass,2018
Yountville veterans home shooting,"Yountville, California",California,3/9/18,"Army veteran Albert Cheung Wong, 36, stormed a veterans home where he was previously under care, exchanging gunfire with a sheriff’s deputy and taking three women hostage, one of whom he’d previously threatened. After a standoff with law enforcement, he killed the three women and himself.",3,0,3,Workplace,36,Yes,Wong had served in Afghanistan and had a history of PTSD.,1,TBD,semiautomatic rifle; shotgun,-,Asian,M,38.392496,-122.366528,Mass,2018
Excel Industries mass shooting,"Hesston, Kansas",Kansas,2/25/16,"Cedric L. Ford, who worked as a painter at a manufacturing company, shot victims from his car and at his workplace before being killed by police at the scene. Shortly before the rampage he had been served with a restraining order.",3,14,17,Workplace,38,Unclear,Unclear,1,-,"Semiautomatic rifle, semiautomatic handgun","Zastava Serbia AK-47-style rifle, Glock Model 22 .40-caliber handgun; high-capacity magazines (30 rounds)",Black,M,38.135992,-97.425145,Mass,2016
Accent Signage Systems shooting,"Minneapolis, Minnesota",Minnesota,9/27/12,"Andrew Engeldinger, 36, upon learning he was being fired, went on a shooting rampage, killing the business owner, three fellow employees, and a UPS driver. He then killed himself.",7,1,8,Workplace,36,Yes,"His family worried about his ""paranoia and delusions"" for at least two years prior, and tried to get him to seek treatment.",1,Unknown,One semiautomatic handgun,9mm Glock semiautomatic handgun,white,M,44.977425,-93.310408,Mass,2012
Hartford Beer Distributor shooting,"Manchester, Connecticut",Connecticut,8/3/10,"Omar S. Thornton, 34, shot up his Hartford Beer Distributor workplace after facing disciplinary issues, then committed suicide.",9,2,11,Workplace,34,No,"He apparently was driven over the edge by unaddressed, ongoing racism against him at work",1,"Gun dealer in East Windsor, Conn.",Two semiautomatic handguns,Two 9mm Ruger SR9 semiautomatic handguns,black,M,41.798764,-72.570068,Mass,2010
Atlantis Plastics shooting,"Henderson, Kentucky",Kentucky,6/25/08,"Disgruntled employee Wesley Neal Higdon, 25, shot up an Atlantis Plastics factory after he was escorted out of his workplace for an argument with a supervisor. Higdon shot the supervisor outside the factory before opening fire on coworkers inside. He then committed suicide.",6,1,7,Workplace,25,No,He called his girlfriend two hours before the shooting to say he was going to kill his boss.,1,Unknown,One semiautomatic handgun,.45-caliber Hi-Point semiautomatic handgun,white,M,37.76721,-87.5573742,Spree,2008
Goleta postal shootings,"Goleta, California",California,1/30/06,"Former postal worker Jennifer Sanmarco, 44, shot dead a former neighbor then drove to the mail processing plant where she used to work. Inside, she opened fire, killing six employees before committing suicide.",8,0,8,Workplace,44,Yes,She was placed on retirement disability for psychological reasons. Fellow employees described her behavior as increasingly bizarre. She believed the Postal Service employees were conspiring against her.,1,"Pawn shops in Grants and Gallup, N.M.",One semiautomatic handgun,9mm Smith & Wesson 915 semiautomatic handgun,white,F,34.425571,-119.866069,Mass,2006
Lockheed Martin shooting,"Meridian, Mississippi",Mississippi,7/8/03,"Assembly line worker Douglas Williams, 48, opened fire at his Lockheed Martin workplace in a racially motivated attack before committing suicide.",7,8,15,Workplace,48,Yes,"His cousin said he was depressed and ""going through a lot of things.""",1,Purchased from an individual,"One semiautomatic handgun, two rifles, one derringer, one shotgun",".45-caliber Ruger P90 semiautomatic handgun; .22-caliber rifle with scope, .223-caliber Ruger Mini-14 rifle; 12-gauge Winchester 1300 shotgun; .22 Magnum derringer",white,M,32.410842,-88.634539,Mass,2003
Navistar shooting,"Melrose Park, Illinois",Illinois,2/5/01,"Fired employee William D. Baker, 66, opened fire at his former Navistar workplace before committing suicide.",5,4,9,Workplace,66,No,"He had a criminal past, including a sexual assault conviction.",1,"Some purchased from Pepper Sports in Glen Ellyn, Ill. ","Two rifles, one revolver, one shotgun","SKS 1954R, .30-caliber Winchester rifles; 12-gauge Remington pump-action shotgun; .38-caliber revolver",black,M,41.908163,-87.879908,Mass,2001
Wakefield massacre,"Wakefield, Massachusetts",Massachusetts,12/26/00,"Michael McDermott, 42, opened fire on co-workers at Edgewater Technology and was later arrested.",7,0,7,Workplace,42,Yes,"Psychiatrist guessed he had schizophrenia, but McDermott had researched how to fake a mental illness on the internet. Defense lawyer described history of suicide attempts and mental illness dating back to teen years. Jury rejected his insanity defense. ",1,Unknown,"One semiautomatic handgun, one rifle (assault), one shotgun",.32-caliber Retolaza semiautomatic handgun; AK-47 variant semiautomatic rifle; 12-gauge Winchester 1300 pump-action shotgun,white,M,42.500429,-71.075913,Mass,2000
Hotel shooting,"Tampa, Florida",Florida,12/30/99,"Hotel employee Silvio Leyva, 36, gunned down four coworkers at the Radisson Bay Harbor Inn before killing a woman outside who refused to give him her car. He was arrested shortly after the shootings.",5,3,8,Workplace,36,Yes,"His brother called him ""unbalanced"" and mentally ill.",1,"One purchased from Big E's in Tampa, Fla.","One semiautomatic handgun, one revolver",9mm Lorcin semiautomatic handgun; .38-caliber Charter Arms revolver,Latino,M,27.966479,-82.570586,Spree,1999
Xerox killings,"Honolulu, Hawaii",Hawaii,11/2/99,"Byran Koji Uyesugi, 40, a Xerox service technician, opened fire inside the building with a 9mm Glock. He fled and was later apprehended by police.",7,0,7,Workplace,40,Yes," A psychiatrist, testifying for the prosecution,said he suffered from schizophrenia.",1,"Hunting Supplies of Hawaii (The Armory) in Honolulu, Hawaii",One semiautomatic handgun,9mm Glock 17 semiautomatic handgun,Asian,M,21.320063,-157.876462,Spree,1999
Atlanta day trading spree killings,"Atlanta, Georgia",Georgia,7/29/99,"Day trader Mark O. Barton, 44, who had recently lost a substantial sum of money, went on a shooting spree through two day-trading firms. He started at the All-Tech Investment Group, where he worked, then went on to Momentum Securities. He fled and hours later, after being cornered by police outside a gas station, committed suicide. (Two days before the spree, he killed his wife and two children with a hammer.)",9,13,22,Workplace,44,Yes,"In letters, he details his deep depression and downward spiral. ",1,"Glock purchased from gun store in Warner Robins, Ga. ","Three semiautomatic handguns, one revolver",".45-caliber Colt 1911-A1, 9mm Glock 17, .25-caliber Raven Arms MP-25 semiautomatic handguns; .22-caliber Harrington & Richardson revolver",white,M,33.850116,-84.377839,Mass,1999
Connecticut Lottery shooting,"Newington, Connecticut",Connecticut,3/6/98,"Lottery worker Matthew Beck, 35, gunned down four bosses over a salary dispute before committing suicide.",5,1,6,Workplace,35,Yes,He had been hospitalized for psychiatric reasons and had a history of depression,1,Unknown,One semiautomatic handgun,9mm semiautomatic handgun,white,M,41.6856325,-72.72983827,Mass,1998
Caltrans maintenance yard shooting,"Orange, California",California,12/18/97,"Former Caltrans employee Arturo Reyes Torres, 41, opened fire at a maintenance yard after he was fired for allegedly selling government materials he'd stolen from work. He was shot dead by police.",5,2,7,Workplace,41,No,He was disgruntled after being fired. ,1,"B&B Gun Sales in Orange County, Calif.",One rifle (assault),7.62mm AK-47 Chinese variant semiautomatic rifle,Latino,M,33.7877944,-117.8531119,Spree,1997
Fort Lauderdale revenge shooting,"Fort Lauderdale, Florida",Florida,2/9/96,"Fired city park employee Clifton McCree, 41, opened fire on former coworkers he called ""racist devils"" inside their municipal trailer in an act of revenge after failing a drug test. He then committed suicide.",6,1,7,Workplace,41,Yes,"Co-workers complained about his threats and verbal abuse. His supervisors asked him to get a psychiatric evaluation. He lost his job, which relatives said drove his depression.",1,Unknown,"One semiautomatic handgun, one revolver",9mm Glock semiautomatic handgun; .32-caliber revolver,black,M,26.119269,-80.104119,Spree,1996
Walter Rossler Company massacre,"Corpus Christi, Texas",Texas,4/3/95,"Disgruntled former metallurgist James Daniel Simpson, 28, opened fire throughout the Walter Rossler Company where he had worked before exiting the building and committing suicide.",6,0,6,Workplace,28,No,He was likely angry because he was given an assignment at work he didn't like. But acquaintances didn't know why he'd come back and kill.,1,Unknown,"One semiautomatic handgun, one revolver",9mm Ruger semiautomatic handgun; .32-caliber revolver,unclear,M,27.828025,-97.548198,Mass,1995
Royal Oak postal shootings,"Royal Oak, Michigan",Michigan,11/14/91,"Laid-off postal worker Thomas McIlvane, 31, opened fire at his former workplace before committing suicide.",5,5,10,Workplace,31,Yes,Police revoked his CCW permit after determining he was mentally unstable.,1,Local gun store,One rifle,.22-caliber Ruger sawed-off semiautomatic rifle,white,M,42.4894801,-83.1446485,Mass,1991
Standard Gravure shooting,"Louisville, Kentucky",Kentucky,9/14/89,"Joseph T. Wesbecker, 47, gunned down eight people at his former workplace before committing suicide.",9,12,21,Workplace,47,Yes,"Prior to the shooting, he had voluntarily checked into hospitals for mental problems at least twice and attempted suicide three times. ",1,"AK-47 purchased from Tilford's Gun Sales in Louisville, Ky. ","Three semiautomatic handguns (two assault), one rifle (assault), one revolver","Two Intratec MAC-11, 9mm SIG Sauer semiautomatic handguns; AK-47 Chinese variant semiautomatic rifle; .38-caliber revolver",white,M,38.2542376,-85.759407,Mass,1989
ESL shooting,"Sunnyvale, California",California,2/16/88,"Former ESL Incorporated employee Richard Farley, 39, gunned down seven people at his former workplace, after stalking and harassing a coworker he was romantically interested in. He was later arrested and now sits on death row at San Quentin.",7,4,11,Workplace,39,Yes,"He stalked and harassed his colleague Laura Black for four years until she was granted a temporary restraining order aginst him. Before he was fired for his bizarre behavior, he was ordered to undergo psychological counseling. ",1,Various sporting goods and gun stores in Northern California,"Two semiautomatic handguns, one rifle, two revolvers, two shotguns",".380 ACP Browning, 9mm Smith & Wesson semiautomatic handguns; Ruger M-77 .22-250 bolt-action rifle with scope; Mossberg 12-gauge pump-action, 12-gauge Benelli semiautomatic shotguns; .357 Magnum Smith & Wesson, .22 Sentinel WMR revolvers",white,M,37.3688301,-122.0363496,Mass,1988
United States Postal Service shooting,"Edmond, Oklahoma",Oklahoma,8/20/86,"Postal worker Patrick Sherrill, 44, opened fire at a post office before committing suicide.",15,6,21,Workplace,44,Unclear ,He was worried he had inherited mental problems and rebuffed a pastor's suggestion he seek psychiatric counseling. His family members denied he had a history of mental illness.,1,"Issued by Oklahoma National Guard, where Sherrill served, for target competition  ",Three semiautomatic handguns,".22-caliber, two .45-caliber Colt Model 1911-A1 semiautomatic handguns",white,M,35.6672015,-97.42937037,Mass,1986
Santa Monica rampage,"Santa Monica, California",California,6/7/13,"John Zawahri, 23, armed with a homemade assault rifle and high-capacity magazines, killed his brother and father at home and then headed to Santa Monica College, where he was eventually killed by police.",6,3,9,Other,23,Yes,He was known as a solitary teen who regularly ditched class and had an interest in assault weapons; he had been admitted to UCLA's psychiatric ward for a brief period.,1,Assembled a rifle out of component parts.,"Assault rifle, high capacity magazines, antique handgun
",".223-caliber semi-automatic assault rifle, about 40 high capacity magazines, ""black powder"" handgun (likely antique)",White,M,34.008617,-118.494754,Mass,2013